country,iso,region,score,rank
Libya,LBY,MENA,2,168
Burundi,BDI,SSA,1.9,172
Equatorial Guinea,GNQ,SSA,1.9,172
Venezuela,VEN,AME,1.9,172
Haiti,HTI,AME,1.8,175
Iraq,IRQ,MENA,1.8,175
Sudan,SDN,SSA,1.6,177
Turkmenistan,TKM,ECA,1.6,177
Uzbekistan,UZB,ECA,1.6,177
Afghanistan,AFG,AP,1.5,180
Myanmar,MMR,AP,1.5,180
Korea, North,PRK,AP,1,182
Somalia,SOM,SSA,1,182
